materialUid,publisher,title,series,skill,grade,status,localPath,imageUrl,sourcePage,sourceTitle,score,note
IH-ENG-0001,YBM,Phonics NOW (5단계),Phonics,파닉스,예비초-초,found,covers/IH-ENG-0001.jpg,https://image.yes24.com/goods/146340490/L,https://www.yes24.com/Product/Goods/146340490,Phonics Now 4 : Student Book (with Readers),102,
IH-ENG-0002,A*List (에이리스트),30-word Reading 1,30/40/50/60/80/100/120/150/180/210-word,독해,유아(5~7세)~초등 G1,found,covers/IH-ENG-0002.jpg,,,,,
IH-ENG-0003,Compass Publishing,Reading Future Starter (1~3),Reading,독해,초등 저학년,found,covers/IH-ENG-0003.jpg,https://image.yes24.com/goods/70428841/L,https://www.yes24.com/Product/Goods/70428841,Reading Future Create 1 New,105,
IH-ENG-0004,e-future (이퓨처),Smart Reading 1,Smart,독해,초등 저학년,found,covers/IH-ENG-0004.jpg,https://image.yes24.com/goods/112939155/L,https://www.yes24.com/Product/Goods/112939155,Smart Reading 6-1 (180 Words),35,
IH-ENG-0005,Compass Publishing (컴퍼스 퍼블리싱),Vivid Reading Starter 1,Vivid,독해,초등 저학년,found,covers/IH-ENG-0005.jpg,https://image.yes24.com/goods/110373635/L,https://www.yes24.com/Product/Goods/110373635,Vivid Reading with Fiction and Nonfiction Plus 3,105,
IH-ENG-0006,이퓨쳐(e-future),e-future Classic Readers Starter,e-future,독해,유아~초등 저학년,found,covers/IH-ENG-0006.jpg,https://image.yes24.com/goods/27559053/L,https://www.yes24.com/Product/Goods/27559053,e-future Classic Readers Level Starter-2 : The Ant and the Grasshopper,49,
IH-ENG-0007,쎄듀(CEDU),왓츠 리딩(What's Reading) 30/40,왓츠,독해,초등 저학년,found,covers/IH-ENG-0007.jpg,https://image.yes24.com/goods/139783806/L,https://www.yes24.com/Product/Goods/139783806,왓츠 리딩 (What’s Reading) 30/40,36,
IH-ENG-0008,쎄듀(CEDU),초등코치 천일문 SENTENCE 1,초등코치,쓰기,초등 3~6학년(입문),found,covers/IH-ENG-0008.jpg,https://image.yes24.com/goods/33392371/L,https://www.yes24.com/Product/Goods/33392371,초등코치 천일문 sentence 1,109,
IH-ENG-0009,e-future (이퓨처),Smart Phonics 3rd Edition 1,Smart,파닉스,유아~초등 저학년,found,covers/IH-ENG-0009.jpg,https://image.yes24.com/goods/123408994/L,https://www.yes24.com/Product/Goods/123408994,[3판]Smart Phonics 1 : Student Book (3rd Edition),46,
IH-ENG-0010,길벗스쿨,기적의 파닉스,기적의,파닉스,유아/예비초,found,covers/IH-ENG-0010.jpg,https://image.yes24.com/goods/123863555/L,https://www.yes24.com/Product/Goods/123863555,기적의 파닉스 1~3 세트,99,
